ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-0495,UC-GL-597,インフラ/プラットフォーム管理の可用性/冗長性のレビュー,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0496,UC-GL-598,インフラ/プラットフォーム管理の可用性設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0497,UC-GL-599,インフラ/プラットフォーム管理の基盤更新計画,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0498,UC-GL-600,インフラ/プラットフォーム管理の変更影響評価,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0499,UC-GL-603,インフラ/プラットフォーム管理の廃止資産の手続き,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0500,UC-GL-604,インフラ/プラットフォーム管理の復旧手順整備,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0501,UC-GL-606,インフラ/プラットフォーム管理の性能テストの実施,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0502,UC-GL-608,インフラ/プラットフォーム管理の技術スタック棚卸し,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0503,UC-GL-609,インフラ/プラットフォーム管理の新技術評価,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0504,UC-GL-610,インフラ/プラットフォーム管理の新技術評価の実施,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0505,UC-GL-611,インフラ/プラットフォーム管理の暗号化方針の適用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0506,UC-GL-612,インフラ/プラットフォーム管理の権限棚卸しの運用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0507,UC-GL-613,インフラ/プラットフォーム管理の機器更改計画,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0508,UC-GL-614,インフラ/プラットフォーム管理の無効資産の廃止,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0509,UC-GL-615,インフラ/プラットフォーム管理の環境の分離/隔離設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0510,UC-GL-616,インフラ/プラットフォーム管理の環境分離設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0511,UC-GL-617,インフラ/プラットフォーム管理の監査ログの集約,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0512,UC-GL-618,インフラ/プラットフォーム管理の監査ログ収集,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0513,UC-GL-622,インフラ/プラットフォーム管理の脆弱性スキャンの運用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0514,UC-GL-623,インフラ/プラットフォーム管理の脆弱性対応,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0515,UC-GL-625,インフラ/プラットフォーム管理の負荷分散設定,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0516,UC-GL-626,インフラ/プラットフォーム管理の資産ライフサイクル管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0517,UC-GL-627,インフラ/プラットフォーム管理の資産台帳の整備,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0518,UC-GL-631,インフラ/プラットフォーム管理の運用手順標準化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0519,UC-GL-632,インフラ/プラットフォーム管理の障害復旧手順の更新,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0520,UC-GL-633,インフラ/プラットフォーム管理の障害復旧訓練,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0521,UC-GF-097,ダッシュボードプロビジョニング,インフラストラクチャおよびプラットフォーム管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0522,UC-GF-098,データソースプロビジョニング,インフラストラクチャおよびプラットフォーム管理,Grafana; Terraform(ECS init),"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0523,UC-QD-01,HNSW索引,インフラストラクチャおよびプラットフォーム管理,Qdrant,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0524,UC-QD-04,スナップショット,インフラストラクチャおよびプラットフォーム管理,Qdrant,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0532,UC-N8N-14,実行モード,インフラストラクチャおよびプラットフォーム管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0533,UC-N8N-13,実行タイムアウト,インフラストラクチャおよびプラットフォーム管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0534,UC-N8N-15,構成管理,インフラストラクチャおよびプラットフォーム管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0535,UC-N8N-08,DB構成,インフラストラクチャおよびプラットフォーム管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0701,UC-EXA-01,ワークスペース,ガバナンス,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0702,UC-GL-172,任意承認,ガバナンス,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0703,UC-ZU-02,メッセージ削除,ガバナンス,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0704,UC-ZU-04,編集履歴,ガバナンス,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0705,UC-ZU-03,メッセージ編集,ガバナンス,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0801,UC-ZU-01,トピック作成権限,ガバナンス; 情報セキュリティ管理,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0901,UC-GL-146,リリース証跡,ガバナンス; 監査,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1001,UC-ZU-33,リアクション,コミュニケーション,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1002,UC-ZU-32,ファイル共有,コミュニケーション,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1301,UC-GL-025,サプライヤ管理のKPI/指標定義,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1302,UC-GL-026,サプライヤ管理のガバナンスと方針運用の整備,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1303,UC-GL-027,サプライヤ管理のステークホルダー/関係者調整,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1304,UC-GL-028,サプライヤ管理のツール/データ整備,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1305,UC-GL-029,サプライヤ管理のリスク/例外レビュー,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1306,UC-GL-030,サプライヤ管理のリスクと例外の管理,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1307,UC-GL-031,サプライヤ管理のレビュー/監査の実施,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1308,UC-GL-032,サプライヤ管理のロードマップ策定,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1309,UC-GL-033,サプライヤ管理の主要関係者の合意形成,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1310,UC-GL-034,サプライヤ管理の変更影響の分析,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1311,UC-GL-035,サプライヤ管理の定期レビュー/報告,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
